Date,R,GAP,INF,REER
2005M01,9.315789474,3.68,0.2,-0.58
2005M02,8.957278881,0.74,0.007278881,2.55
2005M03,8.323733676,-0.43,-0.237135889,1.27
2005M04,7.952814845,-0.29,0.009957702,-1.23
2005M05,7.691698926,-0.22,0.248841783,-0.59
2005M06,7.597970928,-0.9,0.17978911,2.97
2005M07,7.753063374,-0.07,0.293063374,4.56
2005M08,7.968919508,0.45,0.138919508,2.48
2005M09,8.177603975,0.65,0.347603975,3.03
2005M10,8.200783619,1.26,0.379355047,4.82
2005M11,8.124403083,0.99,0.404403083,7.55
2005M12,8.081152603,-0.02,0.442970785,7.5
2006M01,8.5,0.02,0.49,7.48
2006M02,8.592117351,0.08,0.542117351,8.37
2006M03,8.68253758,1.21,0.64253758,7.07
2006M04,8.758791955,0.35,0.681291955,6.13
2006M05,8.608411166,0.55,0.928411166,-2.77
2006M06,10.5575617,0.54,2.10392534,-14.55
2006M07,12.86119738,0.12,3.417864045,-11.76
2006M08,13.11025631,-0.39,3.590256308,-7.46
2006M09,13.19113062,-0.71,3.31113062,-6.93
2006M10,13.27051495,-0.59,3.150514946,-5.78
2006M11,13.34843674,-1.11,2.978436738,-4.72
2006M12,13.42492294,0.98,3.15492294,-5.42
2007M01,13.5,3.45,2.84,-3.25
2007M02,13.5,1.62,2.77,-1.39
2007M03,13.5,2.62,2.83,-2.9
2007M04,13.5,2.8,2.64,0.1
2007M05,13.5,3.77,2.63,1.85
2007M06,13.5,2.18,2.47,2.92
2007M07,13.5,1.77,2.25,2.98
2007M08,13.5,2.76,2.31,-0.11
2007M09,13.3625,3.2,2.27,3.28
2007M10,13.01190476,2.66,2.04,8.93
2007M11,12.47727273,2.87,1.82,8.79
2007M12,11.98684211,4.76,2.09,10.28
2008M01,11.63636364,3.8,1.94,9.91
2008M02,11.15392612,5.22,1.784878502,8.31
2008M03,10.80818769,5.27,1.58818769,0.18
2008M04,10.56930536,4.47,2.089305361,-5.64
2008M05,10.55567109,4.27,2.827575851,0.77
2008M06,10.79040347,4.64,3.372308234,1.33
2008M07,10.99016573,3.3,3.142774425,1.67
2008M08,10.97820718,2.47,2.908207183,9.27
2008M09,10.667798,2.3,2.467798004,7.58
2008M10,10.3406949,-1.06,2.110694904,-4.08
2008M11,9.821000076,-3.46,2.256000076,-6.68
2008M12,8.540662169,-5.18,1.422767432,-5.94
2009M01,6.452380952,-9.31,0.14,-6.87
2009M02,5.138906863,-8.13,-0.251093137,-8.55
2009M03,3.813123439,-8.81,-0.623240197,-11.04
2009M04,2.94214274,-7.93,-0.456428689,-6.02
2009M05,2.33619584,-6.16,-0.690646265,-4.6
2009M06,1.956846545,-4.53,-0.475880728,-5.86
2009M07,1.528749543,-3.62,-0.462120022,-4.21
2009M08,1.136362049,-4.55,-0.589352236,-3.3
2009M09,0.757434399,-4.08,-0.507565601,-4.49
2009M10,0.275156277,-3.16,-0.506748484,-1.86
2009M11,0.027321132,-0.74,-0.356889394,-2.78
2009M12,-0.077976973,-3.84,-0.237976973,-2.58
2010M01,0,-4.83,0.16,2.97
2010M02,0.089860695,-3.71,0.499860695,3.98
2010M03,0.17847909,-2.85,0.90847909,2.89
2010M04,0.265872361,-2.61,1.015872361,7.29
2010M05,0.352057445,-1.21,1.432057445,7.22
2010M06,0.937051043,-1.29,1.167051043,6.03
2010M07,1.020869628,-1.27,1.260869628,5.03
2010M08,1.103529445,-0.1,1.303529445,6.66
2010M09,1.185046513,-0.51,1.295046513,8.2
2010M10,1.26543663,-0.33,1.32543663,11.73
2010M11,1.344715376,1.41,1.534715376,11.11
2010M12,1.183767681,2.04,1.402898115,5.96
2011M01,0.938571429,4.7,0.92,1.88
2011M02,0.793510811,2.97,1.143510811,-0.94
2011M03,0.836677406,2.1,1.316677406,-1.71
2011M04,0.897121554,1.41,1.359502507,1.21
2011M05,0.921988816,1.63,1.481988816,0.27
2011M06,0.964139014,2.55,1.644139014,-3.34
2011M07,1.005955759,3.52,1.585955759,-7.18
2011M08,0.69644169,5.39,1.68744169,-12.67
2011M09,0.588599423,0.37,1.668599423,-11.75
2011M10,0.713717269,4.34,1.659431555,-10
2011M11,1.730496217,3.04,1.849940661,-6.38
2011M12,2.841038389,2.48,2.110129298,-7.31
2012M01,3.874090909,1.09,1.85,-4.71
2012M02,2.621428571,-0.59,1.86849,-0.54
2012M03,3.145454545,0.76,1.77746,-1.89
